COD,POP,OB_Tot,OB_Tot_Tax,Tx_analf
350010,35023,35023,"4,39711047","5,8"
350020,3571,3571,"4,480537665","7,8"
350030,35954,35954,"4,728263893","8,3"
350040,8137,8137,"4,670025808","5,3"
350050,18599,18599,"4,731437174","5,9"
350055,6040,6040,"5,629139073","5,8"
350060,3380,3380,"4,437869822","1,5"
350070,37023,37023,"4,078545769","5,2"
350075,5918,5918,"3,379520108","5,6"
350080,4147,4147,"4,581625271","10,5"
350090,4134,4134,"3,628447025","9,5"
350100,16164,16164,"3,650086612",6
350110,4110,4110,"5,109489051",8
350115,18484,18484,"4,057563298","4,6"
350120,3712,3712,"3,232758621","8,1"
350130,24830,24830,"3,866290777","6,2"
350140,5179,5179,"3,089399498","13,7"
350150,3206,3206,"3,119151591","9,6"
350160,237112,237112,"3,196801512","2,6"
350170,39962,39962,"2,90275762","6,9"
350180,5956,5956,"5,372733378",8
350190,71700,71700,"3,988842399","4,5"
350200,4933,4933,"3,648895196","6,2"
350210,57112,57112,"4,867628519",6
350220,24969,24969,"3,484320557","5,8"
350230,6627,6627,"4,225139581","6,9"
350240,4085,4085,"2,937576499","6,1"
350250,36129,36129,"5,009825902",3
350260,4234,4234,"4,01511573","14,1"
350270,24526,24526,"4,403490174","7,6"
350275,21854,21854,"3,248833166","6,3"
350280,195874,195874,"4,385472293","3,7"
350290,33499,33499,"4,656855429","5,1"
350300,5585,5585,"5,192479857","5,6"
350310,6348,6348,"5,671077505","7,8"
350315,2478,2478,"4,03551251","8,6"
350320,233744,233744,"3,781915258","3,3"
350330,132934,132934,"3,934283178","4,4"
350335,1811,1811,"3,865267808","15,3"
350340,8505,8505,"4,703115814","6,8"
350350,3876,3876,"4,127966976","7,1"
350360,11099,11099,"5,045499595","11,5"
350370,9573,9573,"4,073958007","7,9"
350380,53450,53450,"3,498596819","5,9"
350390,88455,88455,"3,787236448","4,7"
350395,1825,1825,"4,383561644","11,6"
350400,103666,103666,"3,993594814","3,8"
350410,141398,141398,"4,200908075","4,9"
