,state_name,city_name,vacinados,perc_vacinados,imunizados,perc_imunizados,nao_vacinados
0,Rondônia,Alta Floresta D'Oeste,1580.0,6.89,875.0,3.81,21365
1,Rondônia,Ariquemes,3446.0,3.19,1188.0,1.1,104417
2,Rondônia,Cabixi,479.0,9.02,166.0,3.12,4833
3,Rondônia,Cacoal,6048.0,7.09,3233.0,3.79,79311
4,Rondônia,Cerejeiras,1045.0,6.4,355.0,2.17,15278
5,Rondônia,Colorado do Oeste,711.0,4.48,336.0,2.12,15171
6,Rondônia,Corumbiara,340.0,4.6,156.0,2.11,7051
7,Rondônia,Costa Marques,347.0,1.89,96.0,0.52,17984
8,Rondônia,Espigão D'Oeste,1442.0,4.45,546.0,1.69,30932
9,Rondônia,Guajará-Mirim,3942.0,8.54,2111.0,4.57,42232
10,Rondônia,Jaru,2614.0,5.05,898.0,1.73,49161
11,Rondônia,Ji-Paraná,3854.0,2.99,1031.0,0.8,125115
12,Rondônia,Machadinho D'Oeste,983.0,2.46,389.0,0.97,39008
13,Rondônia,Nova Brasilândia D'Oeste,330.0,1.61,134.0,0.65,20144
14,Rondônia,Ouro Preto do Oeste,1281.0,3.55,705.0,1.96,34754
15,Rondônia,Pimenta Bueno,1489.0,4.06,648.0,1.77,35171
16,Rondônia,Porto Velho,28687.0,5.42,9115.0,1.72,500857
17,Rondônia,Presidente Médici,915.0,4.82,312.0,1.64,18071
18,Rondônia,Rio Crespo,208.0,5.53,76.0,2.02,3556
19,Rondônia,Rolim de Moura,375.0,0.68,114.0,0.21,54683
20,Rondônia,Santa Luzia D'Oeste,365.0,5.62,197.0,3.03,6130
21,Rondônia,Vilhena,4364.0,4.37,2261.0,2.26,95490
22,Rondônia,Nova Mamoré,931.0,3.04,385.0,1.26,29652
23,Rondônia,Alvorada D'Oeste,738.0,5.12,268.0,1.86,13673
24,Rondônia,Alto Alegre dos Parecis,452.0,3.41,162.0,1.22,12789
25,Rondônia,Alto Paraíso,798.0,3.72,206.0,0.96,20630
26,Rondônia,Buritis,1238.0,3.12,505.0,1.27,38416
27,Rondônia,Novo Horizonte do Oeste,290.0,3.4,178.0,2.08,8248
28,Rondônia,Cacaulândia,272.0,4.37,100.0,1.61,5958
29,Rondônia,Campo Novo de Rondônia,369.0,2.61,149.0,1.05,13770
30,Rondônia,Candeias do Jamari,768.0,2.88,296.0,1.11,25925
31,Rondônia,Castanheiras,259.0,8.49,72.0,2.36,2793
32,Rondônia,Chupinguaia,318.0,2.84,63.0,0.56,10864
33,Rondônia,Cujubim,484.0,1.92,42.0,0.17,24731
34,Rondônia,Governador Jorge Teixeira,577.0,7.43,244.0,3.14,7190
35,Rondônia,Itapuã do Oeste,514.0,4.91,237.0,2.27,9944
36,Rondônia,Ministro Andreazza,495.0,5.12,156.0,1.61,9165
37,Rondônia,Mirante da Serra,275.0,2.51,155.0,1.42,10672
38,Rondônia,Monte Negro,879.0,5.55,231.0,1.46,14973
39,Rondônia,Nova União,295.0,4.23,108.0,1.55,6675
40,Rondônia,Parecis,201.0,3.31,51.0,0.84,5873
41,Rondônia,Pimenteiras do Oeste,141.0,6.5,47.0,2.17,2028
42,Rondônia,Primavera de Rondônia,253.0,8.86,81.0,2.84,2603
43,Rondônia,São Felipe D'Oeste,343.0,6.63,145.0,2.8,4829
44,Rondônia,São Francisco do Guaporé,671.0,3.31,258.0,1.27,19595
45,Rondônia,Seringueiras,254.0,2.14,182.0,1.54,11602
46,Rondônia,Teixeirópolis,159.0,3.69,111.0,2.58,4149
47,Rondônia,Theobroma,303.0,2.9,201.0,1.92,10141
48,Rondônia,Urupá,631.0,5.5,225.0,1.96,10836
49,Rondônia,Vale do Anari,268.0,2.39,111.0,0.99,10936
50,Rondônia,Vale do Paraíso,438.0,6.42,150.0,2.2,6387
51,Acre,Acrelândia,778.0,5.1,99.0,0.65,14478
52,Acre,Assis Brasil,988.0,13.32,451.0,6.08,6429
53,Acre,Brasiléia,1583.0,6.02,311.0,1.18,24695
54,Acre,Bujari,607.0,5.91,76.0,0.74,9659
55,Acre,Capixaba,370.0,3.15,86.0,0.73,11363
56,Acre,Cruzeiro do Sul,6478.0,7.33,1769.0,2.0,81898
57,Acre,Epitaciolândia,885.0,4.81,163.0,0.89,17526
58,Acre,Feijó,2309.0,6.64,809.0,2.33,32471
59,Acre,Jordão,754.0,9.07,271.0,3.26,7563
60,Acre,Mâncio Lima,1858.0,9.79,946.0,4.98,17119
61,Acre,Manoel Urbano,739.0,7.81,237.0,2.51,8720
62,Acre,Marechal Thaumaturgo,1068.0,5.66,557.0,2.95,17799
63,Acre,Plácido de Castro,814.0,4.12,124.0,0.63,18947
64,Acre,Porto Walter,438.0,3.66,245.0,2.04,11544
65,Acre,Rio Branco,20807.0,5.11,4217.0,1.04,386512
66,Acre,Rodrigues Alves,498.0,2.63,1.0,0.01,18432
67,Acre,Santa Rosa do Purus,918.0,14.04,452.0,6.91,5622
68,Acre,Senador Guiomard,932.0,4.05,179.0,0.78,22092
69,Acre,Sena Madureira,1838.0,4.01,346.0,0.75,44010
70,Acre,Tarauacá,1499.0,3.52,537.0,1.26,41068
71,Acre,Xapuri,426.0,2.2,44.0,0.23,18897
72,Acre,Porto Acre,679.0,3.67,112.0,0.61,17825
73,Amazonas,Alvarães,1519.0,9.47,550.0,3.43,14522
74,Amazonas,Amaturá,1492.0,12.93,403.0,3.49,10044
75,Amazonas,Anamã,808.0,5.94,334.0,2.45,12806
76,Amazonas,Anori,1083.0,5.15,233.0,1.11,19927
77,Amazonas,Apuí,461.0,2.1,4.0,0.02,21512
78,Amazonas,Atalaia do Norte,2726.0,13.68,1332.0,6.69,17195
79,Amazonas,Autazes,4449.0,11.24,1902.0,4.81,35116
80,Amazonas,Barcelos,1333.0,4.85,136.0,0.49,26169
81,Amazonas,Barreirinha,4260.0,13.3,1817.0,5.67,27781
82,Amazonas,Benjamin Constant,7372.0,17.15,4178.0,9.72,35612
83,Amazonas,Beruri,1143.0,5.81,375.0,1.91,18536
84,Amazonas,Boa Vista do Ramos,893.0,4.65,196.0,1.02,18314
85,Amazonas,Boca do Acre,2498.0,7.28,710.0,2.07,31810
86,Amazonas,Borba,3022.0,7.34,1523.0,3.7,38139
87,Amazonas,Caapiranga,795.0,6.08,215.0,1.64,12286
88,Amazonas,Canutama,598.0,3.83,51.0,0.33,15031
89,Amazonas,Carauari,1948.0,6.88,323.0,1.14,26346
90,Amazonas,Careiro,3504.0,9.25,589.0,1.56,34365
91,Amazonas,Careiro da Várzea,1053.0,3.48,186.0,0.62,29172
92,Amazonas,Coari,4824.0,5.67,578.0,0.68,80273
93,Amazonas,Codajás,1301.0,4.54,175.0,0.61,27336
94,Amazonas,Eirunepé,2420.0,6.86,535.0,1.52,32853
95,Amazonas,Envira,1433.0,7.15,264.0,1.32,18600
96,Amazonas,Fonte Boa,937.0,5.32,179.0,1.02,16672
97,Amazonas,Guajará,964.0,5.78,146.0,0.88,15714
98,Amazonas,Humaitá,5383.0,9.77,1362.0,2.47,49697
99,Amazonas,Ipixuna,912.0,3.07,252.0,0.85,28777
100,Amazonas,Iranduba,3530.0,7.31,396.0,0.82,44766
101,Amazonas,Itacoatiara,8001.0,7.9,1123.0,1.11,93336
102,Amazonas,Itamarati,550.0,7.01,177.0,2.25,7301
103,Amazonas,Itapiranga,463.0,5.06,47.0,0.51,8685
104,Amazonas,Japurá,539.0,19.56,232.0,8.42,2216
105,Amazonas,Juruá,197.0,1.34,28.0,0.19,14515
106,Amazonas,Jutaí,388.0,2.71,42.0,0.29,13929
107,Amazonas,Lábrea,5051.0,10.96,2093.0,4.54,41018
108,Amazonas,Manacapuru,5613.0,5.76,1262.0,1.3,91764
109,Amazonas,Manaquiri,1165.0,3.63,144.0,0.45,30940
110,Amazonas,Manaus,220327.0,10.09,49882.0,2.29,1962436
111,Amazonas,Manicoré,1102.0,1.98,585.0,1.05,54649
